task,l_target,depth,width,lr,params,train_loss,test_loss,test_acc,loss_5,loss_20,loss_50,loss_100
path,3,3,64,0.01,29442,0.1753743232488632,0.10533515399694443,0.998125,0.21546692967414857,0.19249234402179718,0.18230695712566375,0.17945283782482147
cycle,3,1,64,0.005,4482,0.27772312140464783,0.12833360981941222,0.983325,0.29761645531654357,0.2827653892040253,0.28231357157230375,0.2809806203842163
indset4,3,3,8,0.005,530,3.9303286030190064e-08,1.919268758143744e-09,1.0,0.00059825897985138,1.4256659880629741e-05,1.8530659826865303e-06,3.4479968076084334e-07
k4,3,4,16,0.01,2786,0.5311159400939941,1.1124198160171508,0.23865,0.5458424553871155,0.5358004536628723,0.5357128686904907,0.5345952553749085
indset4,3,3,16,0.01,1954,0.0,0.0,1.0,3.7577003422484267e-07,7.765882514831901e-08,1.1229513731336737e-08,0.0
indset4,3,5,8,0.01,946,5.6147570219877706e-09,2.7418134784795713e-10,1.0,4.3629591295029966e-05,2.20936713503761e-06,3.243912078687572e-07,6.176229121024335e-08
indset4,3,4,16,0.005,2754,0.0,0.0,1.0,5.581380421062932e-06,3.6029081888955263e-07,2.8926126866224422e-08,5.6147570504094805e-09
indset4,3,2,32,0.001,4354,1.5733812256257808e-07,7.677065696043427e-09,1.0,0.009005766160786152,7.51893795968499e-05,8.408814966969658e-06,1.492101210715191e-06
k4,3,1,8,0.001,130,0.5496181831359863,1.1395076293945312,0.238125,0.5503168721199035,0.5500245587825775,0.5498206090927124,0.5498341360092163
path,3,7,8,0.001,1378,0.4770818343162537,0.22702033281326295,0.98265,0.4902679057121277,0.48511551690101623,0.478331116437912,0.47725778675079344
k4,3,3,16,0.005,1986,0.5172268338203431,1.1740725612640381,0.238125,0.5466051487922668,0.5362675631046295,0.5235398612022399,0.5207643148899078
k4,3,5,32,0.001,13826,0.4448614225387573,1.1733797044754029,0.2416,0.5497444586753846,0.5409937078952789,0.5187320485115051,0.4957433362007141
path,3,8,64,0.01,91522,0.22452675306797026,0.23521843266487122,0.98265,0.26042829716205596,0.24858482015132904,0.4771837177276611,0.4772156231403351
k4,3,6,64,0.001,66690,0.34540998554229735,1.2092465372085572,0.24045,0.5503749589920044,0.536302321434021,0.502559039592743,0.3988233170509338
indset4,3,1,64,0.001,4482,1.303207751334412e-06,6.306084753759933e-08,1.0,0.014008082374930382,0.0005595537889748812,6.538619322236628e-05,1.1832974028948229e-05
k4,3,4,16,0.001,2786,0.5137098822593689,1.1746047201156615,0.2385,0.5502172961235047,0.541505464553833,0.5357046570777894,0.5270322442054749
